0,0,0,0,0,stopped
0.5,0.000677,0.023786,-0.008529,-0.006174,stopped
1,0.001431,0.02013,-0.000963,-0.03202,stopped
1.5,0.000746,0.000992,-0.000301,-0.027299,stopped
2,0.000203,0.003471,-0.013482,0.002993,accel
2.5,0.011011,0.032171,-0.029301,-0.095487,accel
3,0.000247,0.005317,0.011181,-0.009706,accel
3.5,0.001518,0.030763,-0.013958,-0.019411,accel
4,0.000838,0.013711,-0.012008,-0.022488,accel
4.5,0.001883,-0.009734,-0.041936,-0.005485,accel
5,0.001528,0.020995,0.004334,-0.032682,accel
5.5,0.002187,0.037519,-0.021527,-0.017785,accel
6,0.002875,-0.037841,-0.018586,-0.033128,accel
6.5,0.002139,-0.009864,0.022134,0.03939,accel
7,0.003278,0.018934,0.044104,0.031212,accel
7.5,0.000525,0.011159,-0.015896,-0.01216,accel
8,0.001056,0.014023,-0.007109,0.028448,accel
8.5,0.002623,0.000613,-0.037623,-0.034743,accel
9,0.000789,-0.011208,-0.010932,-0.023323,accel
9.5,0.000146,0.003714,-0.004374,-0.010647,accel
10,0.000653,0.013731,-0.020693,-0.006013,accel
10.5,0.001002,-0.019607,0.005339,-0.024268,accel
11,0.000256,-0.015405,-0.001319,-0.004151,accel
11.5,0.00074,0.002116,-0.020769,0.017443,accel
12,0.001021,0.024076,-0.019732,-0.007206,accel
12.5,0.004456,0.004131,0.015006,-0.064911,accel
13,0.000126,-0.00126,0.006318,-0.009201,accel
13.5,0.000289,-0.003015,-0.010404,-0.013092,accel
14,0.000692,0.01635,-0.012384,0.016463,accel
14.5,0.000688,0.008707,-0.024718,-0.000886,accel
15,0.001126,0.011738,0.005846,-0.030895,accel
15.5,0.000317,0.013958,-0.0056,-0.00951,accel
16,0.000357,0.00039,-0.017592,-0.006883,accel
16.5,0.00194,0.009025,-0.023165,-0.036359,accel
17,0.000437,-0.01443,-0.006006,-0.013886,accel
17.5,0.000913,-0.026243,0.002537,-0.014745,accel
18,0.000158,-0.000643,-0.006449,-0.010772,accel
18.5,0.000622,0.00331,-0.006502,-0.023853,accel
19,0.001174,-0.004996,0.022223,-0.025599,accel
19.5,0.001665,0.040336,-0.005558,-0.002621,accel
20,0.000773,-0.020224,-0.00866,0.017011,accel
20.5,0.002999,0.02014,-0.004471,-0.050733,accel
21,0.001683,-0.019566,0.011797,-0.034077,accel
21.5,0.001423,-0.017392,-0.010312,0.03184,accel
22,0.006596,0.061624,-0.024383,-0.04695,max
22.5,0.004228,-0.001158,-0.064164,0.010458,max
23,0.002624,-0.034753,-0.008506,0.036658,max
23.5,0.000545,0.005458,0.002248,0.022593,max
24,0.004154,-0.061245,0.019239,0.005755,max
24.5,0.013351,-0.019666,0.023562,0.111394,max
25,0.011455,0.097345,0.006486,0.04401,max
25.5,0.004486,0.025542,-0.050728,0.035497,max
26,0.004097,0.054107,0.009104,-0.032968,max
26.5,0.002962,-0.03075,0.020311,-0.040049,max
27,0.004568,0.009904,-0.041964,-0.052048,max
27.5,0.016156,0.084034,-0.027563,-0.091294,max
28,0.00055,-0.000683,-0.006336,0.022579,max
28.5,0.002021,-0.010954,-0.034697,0.026407,max
29,0.000102,0.002966,0.006067,0.007524,max
29.5,0.002955,0.014353,0.000054,-0.052432,max
30,0.004929,0.006113,-0.02399,-0.065696,max
30.5,0.001936,0.005293,0.035218,-0.02584,max
31,0.002125,-0.044427,-0.012065,-0.002339,max
