r2, X, Y, Z
0.000464, 0.005570, -0.002029, 0.020697
0.001053, 0.027276, 0.017569, 0.000415
0.000380, -0.010900, -0.011597, -0.011265
0.003560, 0.033093, -0.015826, -0.047054
0.001512, 0.011232, -0.018571, -0.032258
0.001674, -0.020409, -0.022653, -0.027277
0.000111, -0.009498, -0.000649, -0.004460
0.000497, -0.002881, -0.011642, -0.018787
0.000459, -0.007763, -0.017333, 0.009908
0.000557, 0.007328, 0.021173, -0.007415
0.003025, 0.001452, -0.024428, -0.049255
0.003844, 0.010532, -0.036698, -0.048850
0.001688, -0.011780, 0.019148, -0.034386
0.003938, 0.018214, 0.015186, -0.058104
0.010422, -0.013329, 0.004572, -0.101112
0.001918, -0.012828, -0.000193, -0.041876
0.000781, 0.014912, 0.004506, -0.023210
0.000461, 0.020620, 0.001869, -0.005668
0.004437, 0.041484, 0.017047, -0.049250
0.016920, 0.048501, 0.033970, -0.115816
0.001546, 0.034642, -0.017811, -0.005351
0.008319, -0.027928, -0.043761, -0.074991
0.043979, 0.079812, 0.029413, -0.191687
0.003884, -0.041720, 0.005326, -0.045987
0.001239, 0.015753, -0.021972, 0.022540
0.003465, 0.023724, -0.045351, -0.029071
0.000123, 0.004375, -0.010065, 0.001548
0.000877, 0.016011, -0.013759, -0.020770
0.000236, 0.011770, -0.008863, 0.004300
0.001098, 0.002342, -0.032906, -0.003093
0.000256, 0.006360, 0.006942, -0.012951
0.000400, -0.010518, -0.005166, -0.016215
0.001390, -0.001603, -0.025842, 0.026826
0.000086, -0.006767, 0.005145, -0.003712
0.000956, 0.011824, -0.013394, 0.025243
0.002606, 0.019934, -0.046651, 0.005657
0.004020, 0.011073, 0.002048, -0.062396
0.019737, 0.078577, -0.017710, -0.115107
0.000532, 0.003892, 0.012569, 0.018940
0.000537, 0.022694, 0.001583, 0.004405
0.000469, -0.016708, -0.001763, 0.013671
0.001518, -0.020131, 0.033336, -0.001249
0.000944, 0.012086, -0.028150, -0.002394
0.000269, -0.011581, -0.009506, -0.006705
0.000246, 0.003087, 0.014614, -0.004824
0.000793, 0.005619, 0.025691, -0.010051
0.000235, -0.009863, -0.011532, -0.002118
0.000236, 0.014617, -0.003365, -0.003392
0.000488, 0.021550, -0.001518, -0.004590
0.001311, 0.028029, 0.003664, -0.022624, 0, Max Velocity Reached
0.003345, 0.002853, -0.035257, -0.045760
0.000419, 0.020300, 0.002605, -0.000292
0.000304, 0.014252, 0.006611, -0.007562
0.005638, 0.009262, -0.045640, -0.058901
0.003041, 0.036361, -0.027156, -0.031334
0.002923, 0.008543, -0.023243, -0.048062, 0, Decelerating
0.012750, -0.016252, -0.018460, -0.110205
0.007137, -0.014201, -0.049045, -0.067304
0.003172, 0.006439, -0.033294, -0.044963
0.000431, 0.013631, 0.001506, 0.015595
0.001046, 0.002872, -0.020895, 0.024528
0.002355, 0.007112, -0.047013, -0.009709
0.009166, -0.020505, -0.067798, -0.064412
0.000905, 0.005220, -0.021762, -0.020103
0.002170, -0.000381, -0.015858, -0.043801
0.001384, 0.005477, -0.004826, -0.036474
0.001233, 0.001080, -0.010175, -0.033595
0.000065, 0.000631, 0.004935, -0.006305
0.000096, -0.000099, 0.008478, -0.004950
0.001368, -0.002368, -0.014442, -0.033967
0.001441, 0.002598, 0.008013, -0.037020
0.000700, 0.005762, 0.017058, -0.019374
0.000346, -0.001877, -0.009824, -0.015689
0.000605, -0.002944, -0.012402, -0.021025
0.001130, 0.002043, -0.009583, -0.032151
0.000041, 0.001592, -0.001474, 0.006025
0.000525, 0.009446, -0.004239, -0.020450
0.000433, -0.009310, -0.011234, -0.014848
0.001451, -0.026059, -0.009709, -0.026031
0.009061, -0.086298, -0.012491, 0.038179
0.007709, -0.082082, 0.030389, -0.006968
0.002861, -0.046104, -0.007997, -0.025921
0.001914, -0.031676, -0.020197, -0.022411
0.000526, -0.006406, -0.015272, -0.015857
0.000808, -0.003969, -0.006292, -0.027434
0.000049, -0.003699, -0.003988, -0.004399, 0, Accelerating
0.000981, 0.030733, -0.001803, 0.005807
0.008147, 0.007884, -0.021823, -0.087226
0.007661, 0.009614, 0.059651, 0.063330
0.000051, 0.003894, -0.005478, -0.002354
0.001339, 0.016911, -0.013382, -0.029571
0.000218, -0.014212, -0.003184, -0.002329
0.005794, -0.027208, 0.031369, 0.063792
0.003582, 0.023157, -0.023080, -0.050133
0.009345, 0.053100, -0.021405, -0.077894
0.003772, 0.009331, 0.015965, -0.058563
0.001710, -0.000202, 0.029257, 0.029217
0.001329, 0.018121, -0.019275, 0.025082
0.001602, -0.010792, -0.033469, -0.019104
0.001358, -0.031485, 0.014903, 0.012033
0.002162, -0.046242, 0.002452, -0.004155
0.001201, -0.004870, -0.032657, 0.010532
0.000725, 0.014047, 0.022713, -0.003422
0.001004, -0.026332, 0.010406, -0.014212
0.002402, 0.032638, -0.011110, -0.034833
0.000076, 0.006247, -0.001590, -0.005832
0.004597, 0.059389, 0.012418, 0.030258
0.001581, -0.000963, 0.011247, -0.038131
0.000647, -0.009837, -0.017416, -0.015705
0.001123, -0.018658, -0.017330, -0.021778
