@RELATION train_movement

@ATTRIBUTE time NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE movement {moving,stopped}

@DATA
18.000000, 0.000324, 0.007540, 0.014932, -0.006613, moving
18.500000, 0.001441, 0.008242, -0.036331, -0.007311, moving
19.000000, 0.000049, 0.001898, 0.003020, -0.006018, moving
19.500000, 0.003689, -0.045487, -0.029035, -0.027870, moving
20.000000, 0.002358, 0.028867, -0.036134, -0.014812, moving
20.500000, 0.000589, 0.012352, -0.002542, -0.020724, moving
21.000000, 0.001765, 0.030011, -0.029390, -0.000373, moving
21.500000, 0.000486, -0.018934, 0.008031, -0.007961, moving
22.000000, 0.001359, 0.032966, -0.015960, 0.004132, moving
22.500000, 0.000670, -0.009387, -0.018187, -0.015832, moving
23.000000, 0.002244, 0.035436, -0.019160, -0.024929, moving
23.500000, 0.000085, -0.000157, -0.009130, -0.001203, moving
24.000000, 0.000536, 0.017139, -0.013942, 0.006905, moving
24.500000, 0.000504, -0.008420, 0.008166, 0.019155, moving
25.000000, 0.001735, 0.033955, 0.007131, -0.023051, moving
25.500000, 0.002981, -0.046700, 0.021695, 0.018150, moving
26.000000, 0.002559, -0.046769, 0.016468, 0.010024, moving
26.500000, 0.000365, 0.016596, -0.000808, -0.009432, moving
27.000000, 0.001168, 0.022713, -0.023796, 0.009264, moving
27.500000, 0.000264, -0.007962, -0.007495, 0.012033, moving
28.000000, 0.000288, 0.012484, -0.007208, -0.008958, moving
28.500000, 0.001538, 0.028172, -0.019693, -0.018881, moving
29.000000, 0.001291, 0.032353, -0.015561, 0.001492, moving
29.500000, 0.002142, 0.036228, -0.028788, -0.000947, moving
30.000000, 0.008179, 0.068544, -0.058011, -0.010750, moving
30.500000, 0.000409, -0.004831, -0.019645, -0.000266, moving
31.000000, 0.002537, -0.035465, -0.003578, -0.035593, moving
31.500000, 0.000828, 0.014138, 0.025053, -0.000478, moving
32.000000, 0.004307, 0.042804, -0.010025, -0.048725, moving
32.500000, 0.000892, 0.013535, -0.003188, -0.026428, moving
33.000000, 0.002664, 0.015076, -0.033633, -0.036135, moving
33.500000, 0.001784, -0.016669, -0.014184, -0.036129, moving
34.000000, 0.003126, -0.007892, 0.050186, 0.023350, moving
34.500000, 0.003167, 0.034465, -0.028354, -0.034276, moving
35.000000, 0.006691, -0.047937, 0.046302, 0.047421, moving
35.500000, 0.003216, 0.050543, -0.024539, 0.007671, moving
36.000000, 0.002933, 0.043409, -0.020031, 0.025438, moving
36.500000, 0.000693, 0.016520, 0.018587, 0.008654, moving
37.000000, 0.001849, 0.028376, -0.005556, -0.031821, moving
37.500000, 0.002439, 0.000386, 0.021645, -0.044390, moving
38.000000, 0.008648, 0.030912, -0.019690, -0.085469, moving
38.500000, 0.005041, 0.045676, -0.048361, -0.024825, moving
39.000000, 0.033007, -0.159326, 0.061850, -0.061618, moving
39.500000, 0.058025, -0.236421, 0.044376, -0.012667, moving
40.000000, 0.003992, -0.047416, 0.032177, 0.026612, moving
40.500000, 0.000822, 0.017816, -0.018245, 0.013108, moving
41.000000, 0.008007, -0.076434, 0.046303, 0.004590, moving
41.500000, 0.004128, -0.044615, 0.044587, 0.012235, moving
42.000000, 0.000337, -0.015550, -0.003690, -0.009043, moving
42.500000, 0.001278, 0.033392, -0.001294, -0.012693, moving
43.000000, 0.011815, 0.098012, 0.003664, 0.046850, moving
43.500000, 0.000240, -0.014595, -0.003315, 0.004058, moving
44.000000, 0.000032, -0.002253, 0.002931, 0.004285, moving
44.500000, 0.000940, 0.007115, -0.029824, -0.000477, moving
45.000000, 0.000305, -0.002986, -0.015289, 0.007892, moving
45.500000, 0.000174, -0.008971, 0.001538, 0.009567, moving
46.000000, 0.000277, 0.008153, -0.012247, -0.007796, moving
46.500000, 0.000506, 0.015128, -0.013832, -0.009282, moving
47.000000, 0.000133, 0.008042, 0.000749, -0.008212, moving
47.500000, 0.000492, 0.017023, -0.013367, -0.004836, moving
48.000000, 0.000119, -0.002803, -0.009521, 0.004530, moving
48.500000, 0.000717, -0.020903, -0.010314, 0.013161, moving
49.000000, 0.000056, -0.001536, -0.006355, 0.003633, moving
49.500000, 0.000318, -0.015998, 0.007614, -0.002068, moving
50.000000, 0.000205, -0.012697, -0.003633, -0.005511, moving
50.500000, 0.000483, -0.019019, -0.009814, 0.005014, moving
51.000000, 0.000116, -0.009235, -0.005096, 0.002214, moving
51.500000, 0.010991, 0.033066, -0.097983, 0.017226, moving
52.000000, 0.002000, -0.005077, -0.044258, 0.003969, moving
52.500000, 0.002626, -0.018540, -0.038627, -0.028117, moving
53.000000, 0.000124, 0.007979, -0.005686, -0.005261, moving
53.500000, 0.000556, 0.001973, 0.023064, -0.004451, moving
54.000000, 0.003130, 0.042466, -0.035790, -0.006750, moving
54.500000, 0.003336, -0.034405, 0.034256, 0.031292, moving
55.000000, 0.002369, 0.013455, 0.036927, 0.028715, moving
55.500000, 0.001285, -0.000522, 0.032992, -0.014011, moving
56.000000, 0.010610, -0.091081, 0.047546, 0.007289, moving
