r2, X, Y, Z
0.001029, 0.001454, 0.019280, -0.025593
0.002159, 0.001253, -0.044463, 0.013416
0.001179, -0.032410, 0.008288, -0.007710
0.000413, 0.016405, 0.008056, -0.008904
0.001581, 0.030646, -0.018235, 0.017597
0.004592, -0.046075, -0.049553, 0.003712
0.003391, -0.026628, -0.040997, -0.031649, 0, Max Velocity Reached
0.001580, -0.004501, -0.038028, -0.010669
0.001479, -0.016483, 0.034008, -0.007110
0.000760, 0.004104, -0.003770, 0.026993
0.006167, 0.016048, -0.041985, -0.064393
0.002378, -0.003964, 0.000059, -0.048607
0.001794, 0.033386, 0.019169, 0.017667
0.002420, -0.036322, -0.027208, 0.018981
0.000338, -0.000584, -0.001948, -0.018260
0.002738, 0.040478, 0.018027, -0.027838
0.004047, -0.049737, -0.036493, -0.015549
0.001274, 0.021474, 0.010142, 0.026649
0.003714, -0.017754, 0.036489, 0.045473
0.000415, 0.016875, -0.000144, 0.011416
0.002857, -0.023226, -0.033628, -0.034455, 0, Max Velocity Reached
0.000271, -0.015209, -0.006279, -0.000203
0.001393, -0.014513, 0.033168, -0.009065
0.001823, -0.027483, 0.028934, -0.015172
0.001784, 0.038109, -0.008295, -0.016216
0.001781, -0.014940, -0.037057, -0.013579
0.005413, -0.061881, -0.038366, 0.010585
0.002159, -0.040830, 0.006647, -0.021156, 0, Decelerating
0.004274, -0.054109, 0.010500, -0.035160
0.000452, 0.018728, -0.009813, 0.002310
0.004773, 0.003504, -0.019048, -0.066313
0.001472, -0.010821, 0.030885, -0.020023
0.000325, 0.014973, 0.001625, -0.009910
0.004852, 0.061255, 0.031053, 0.011631
0.001173, -0.003857, -0.007130, -0.033276
0.000525, -0.005584, 0.003873, 0.021879
0.000768, -0.005872, 0.016537, -0.021449
0.000071, 0.006650, -0.003965, -0.003378
0.043142, 0.193501, 0.073960, -0.015144
0.000490, -0.012801, -0.001448, -0.018011
0.002990, -0.031648, 0.013877, 0.042378
0.004501, -0.016695, -0.013192, -0.063629
0.000361, -0.016970, -0.002081, 0.008276
0.000110, 0.010121, -0.000299, -0.002801
0.000260, 0.003661, 0.003035, -0.015410
0.001492, 0.034324, -0.008950, 0.015303
0.001128, -0.023483, -0.005379, -0.023402
0.000948, -0.015316, 0.013162, 0.023239
0.000537, 0.011689, 0.019553, -0.004302
0.003616, 0.036295, -0.043498, -0.020168
