r2, X, Y, Z
0.000000, 0.000000, 0.000000, 0.000000
0.000113, 0.008012, 0.003661, 0.005987
0.000744, -0.008331, 0.013864, -0.021959
0.000561, -0.004171, -0.001762, 0.023239
0.000385, -0.000329, 0.003729, 0.019252
0.000219, 0.014363, -0.002877, -0.002068
0.000067, 0.003009, 0.002661, -0.007114
0.000088, 0.003429, -0.002328, -0.008442
0.000167, -0.010029, -0.006656, -0.004650
0.000359, 0.002696, 0.006699, 0.017509
0.000464, -0.008000, 0.014089, 0.014205
0.000019, 0.003722, 0.001920, 0.001390
0.000234, 0.009892, 0.007031, 0.009339
0.013168, -0.049643, 0.049274, -0.090970
0.002067, 0.007848, -0.043414, -0.011006
0.013554, 0.086012, 0.068447, 0.038356
0.064324, 0.063995, -0.222820, 0.102858
0.004167, -0.033933, 0.015374, 0.052722
0.038258, -0.000151, -0.114793, -0.158367
0.070018, -0.070865, 0.254206, 0.019388
0.038234, -0.170551, 0.076255, -0.057724
0.037568, -0.083014, -0.154032, -0.083371
0.015221, 0.036535, 0.112042, -0.036505
0.454266, -0.381509, -0.496953, -0.248503
0.017102, -0.115653, -0.031856, -0.052077
0.015611, -0.052870, 0.088507, -0.070585
0.017376, -0.086722, -0.060489, -0.078718
0.090863, 0.288543, -0.032199, -0.081052
0.000890, -0.023827, -0.016783, 0.006384
0.000866, 0.023740, -0.016029, -0.006718
0.017691, 0.055798, 0.082579, -0.088080
0.000954, -0.002885, -0.005179, 0.030312
0.010927, 0.099498, -0.031977, -0.002061
0.010595, -0.068691, 0.054190, 0.054222
0.001628, -0.005996, -0.010939, 0.038372
0.024084, -0.117028, -0.021615, -0.099605
0.018472, -0.024162, 0.133638, 0.005363
0.011441, 0.007868, 0.034977, 0.100778
0.001195, -0.010854, 0.019636, -0.026297
0.039457, 0.121721, 0.021928, -0.155434
0.000910, -0.002869, 0.022661, -0.019705
0.001526, -0.015020, 0.028685, -0.021849
0.013464, -0.014972, 0.009808, 0.114646
0.052784, -0.104904, 0.167018, -0.117829
0.184507, 0.070230, 0.049850, -0.420820
0.160097, -0.079187, 0.217347, 0.326477
0.000270, 0.013447, -0.009428, -0.000816
0.002774, 0.001280, -0.048746, 0.019897
0.002154, -0.034091, -0.000981, -0.031478
0.079425, 0.007084, 0.009602, 0.281572
0.056999, -0.004015, 0.015268, -0.238221
0.000746, 0.000379, -0.024168, -0.012719
0.299691, -0.504878, 0.045231, 0.206746
0.009845, 0.091372, 0.008439, 0.037749
3.632754, -1.464909, -1.216570, 0.082187
4.445715, -1.556370, -1.156592, 0.828084
0.010678, -0.043454, 0.092569, 0.014870
0.000023, 0.004561, -0.001409, -0.000618
0.001102, -0.032175, -0.005069, -0.006435
0.002359, -0.023343, 0.005692, -0.042208
1.647352, 0.224431, 0.522498, -1.150643
0.004669, -0.044094, 0.014811, 0.050050
0.014094, -0.093193, -0.019344, 0.070955
2.354671, -0.571837, 1.140659, -0.852390
0.020250, -0.121385, 0.005745, 0.074043
0.589087, 0.137293, 0.654650, -0.376393
0.079137, 0.198010, 0.003045, -0.199799
0.001002, 0.029065, 0.003074, 0.012154
0.000163, -0.001064, -0.009231, -0.008761
1.637742, -0.253733, 0.933608, -0.837698
1.601821, -1.044370, -0.417735, 0.580181
0.001146, 0.011864, 0.028277, 0.014352
0.000786, 0.002186, -0.000515, 0.027947
0.000425, 0.000843, -0.019900, -0.005290
0.001545, 0.007170, 0.001507, -0.038624
0.000076, 0.008583, 0.000799, 0.001372
0.031521, -0.019926, -0.037546, 0.172378
0.835736, -0.268668, -0.301775, -0.820052
0.481728, -0.028539, 0.486240, 0.494453
1.200130, -0.780943, -0.463810, -0.612485
0.001869, -0.019974, -0.006806, -0.037729
0.054720, 0.168301, 0.159435, 0.031231
0.004129, -0.009526, 0.048117, -0.041510
0.027516, -0.118459, -0.098681, 0.061198
0.001091, 0.006739, 0.005617, -0.031841
0.035672, 0.018163, -0.136183, -0.129599
0.018642, 0.022734, 0.069202, 0.115481
0.005677, 0.010104, 0.019789, -0.071995
0.898920, 0.042309, -0.762558, -0.561814
0.412032, -0.080634, -0.580825, -0.261098
