@RELATION train_movement

@ATTRIBUTE time NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE movement {moving,stopped}

@DATA
945.5,0.00209,0.009151,-0.033218,-0.030044,moving
946,0.005952,-0.023939,-0.046344,-0.056848,moving
946.5,0.005616,-0.008952,-0.055072,-0.050032,moving
947,0.032891,-0.073242,-0.061521,-0.154084,moving
947.5,0.036431,-0.057469,-0.112641,-0.142968,moving
948,0.010469,-0.058873,-0.003998,-0.083588,moving
948.5,0.003401,0.023129,-0.017064,0.050743,moving
949,0.005304,-0.039876,-0.023884,-0.056066,moving
949.5,0.008218,-0.085211,0.018534,-0.024777,moving
950,0.00319,-0.019594,-0.030189,0.043532,moving
950.5,0.000728,-0.022887,0.002638,0.014036,moving
951,0.002005,-0.02456,0.034948,-0.01344,moving
951.5,0.008077,0.076487,0.045452,0.012684,moving
952,0.002874,0.026779,-0.017728,0.042931,moving
952.5,0.001562,0.00774,0.029181,0.025503,moving
953,0.021241,0.046938,0.081255,0.111517,moving
953.5,0.00306,0.020617,0.00411,0.051163,moving
954,0.006836,-0.004288,0.071692,0.040957,moving
954.5,0.013714,0.010018,-0.029872,-0.11279,moving
955,0.012931,-0.039126,-0.071976,-0.078865,moving
955.5,0.003481,-0.025938,-0.000524,0.052991,moving
956,0.001191,-0.027756,0.001274,-0.020463,moving
956.5,0.014758,-0.034305,-0.007932,-0.116266,moving
957,0.001826,0.01267,-0.025922,-0.031514,moving
957.5,0.000302,-0.004752,0.015213,-0.006932,moving
958,0.001061,0.005787,-0.030708,-0.009215,moving
958.5,0.009881,0.006688,0.032509,0.093697,moving
959,0.018,-0.048752,-0.076349,-0.098965,moving
959.5,0.001766,0.02228,-0.034904,-0.007174,moving
960,0.014689,0.00376,0.0617,0.104249,moving
960.5,0.002636,-0.030734,-0.02537,-0.032365,moving
961,0.009897,-0.053592,-0.011931,-0.082958,moving
961.5,0.007348,0.019625,0.013966,0.082269,moving
962,0.00267,0.005592,0.007252,-0.050858,moving
962.5,0.001609,0.02508,0.0296,-0.010186,moving
963,0.001003,-0.028216,-0.013922,0.003548,moving
963.5,0.011079,0.063175,0.003322,0.084124,moving
964,0.001892,0.009914,-0.040744,0.011551,moving
964.5,0.000181,-0.002445,0.004431,-0.012462,moving
965,0.001035,0.029405,0.009041,0.00939,moving
965.5,0.001291,0.008163,-0.022349,-0.026916,moving
966,0.000271,0.009652,0.01283,0.003647,moving
966.5,0.000155,0.003554,0.000219,-0.01191,moving
967,0.00364,0.009641,-0.006556,-0.059194,moving
967.5,0.000942,0.029549,-0.004037,0.007265,moving
968,0.002308,0.018142,0.003141,-0.044369,moving
968.5,0.015758,-0.120649,-0.008685,0.03356,moving
969,0.003766,-0.030284,-0.012032,-0.052003,stopped
969.5,0.002779,0.011786,-0.021913,-0.046479,stopped
970,0.005089,0.059658,-0.000019,0.039109,stopped
970.5,0.082239,0.070408,-0.223567,-0.165224,stopped
971,0.006112,-0.025728,0.015517,0.072177,stopped
971.5,0.000471,0.019144,0.008285,0.006001,stopped
0,0,0,0,0,stopped
0.5,0.000677,0.023786,-0.008529,-0.006174,stopped
1,0.001431,0.02013,-0.000963,-0.03202,stopped
1.5,0.000746,0.000992,-0.000301,-0.027299,stopped
2,0.000203,0.003471,-0.013482,0.002993,moving
2.5,0.011011,0.032171,-0.029301,-0.095487,moving
3,0.000247,0.005317,0.011181,-0.009706,moving
3.5,0.001518,0.030763,-0.013958,-0.019411,moving
4,0.000838,0.013711,-0.012008,-0.022488,moving
4.5,0.001883,-0.009734,-0.041936,-0.005485,moving
5,0.001528,0.020995,0.004334,-0.032682,moving
5.5,0.002187,0.037519,-0.021527,-0.017785,moving
6,0.002875,-0.037841,-0.018586,-0.033128,moving
6.5,0.002139,-0.009864,0.022134,0.03939,moving
7,0.003278,0.018934,0.044104,0.031212,moving
7.5,0.000525,0.011159,-0.015896,-0.01216,moving
8,0.001056,0.014023,-0.007109,0.028448,moving
8.5,0.002623,0.000613,-0.037623,-0.034743,moving
9,0.000789,-0.011208,-0.010932,-0.023323,moving
9.5,0.000146,0.003714,-0.004374,-0.010647,moving
10,0.000653,0.013731,-0.020693,-0.006013,moving
10.5,0.001002,-0.019607,0.005339,-0.024268,moving
11,0.000256,-0.015405,-0.001319,-0.004151,moving
11.5,0.00074,0.002116,-0.020769,0.017443,moving
12,0.001021,0.024076,-0.019732,-0.007206,moving
12.5,0.004456,0.004131,0.015006,-0.064911,moving
13,0.000126,-0.00126,0.006318,-0.009201,moving
13.5,0.000289,-0.003015,-0.010404,-0.013092,moving
14,0.000692,0.01635,-0.012384,0.016463,moving
14.5,0.000688,0.008707,-0.024718,-0.000886,moving
15,0.001126,0.011738,0.005846,-0.030895,moving
15.5,0.000317,0.013958,-0.0056,-0.00951,moving
16,0.000357,0.00039,-0.017592,-0.006883,moving
16.5,0.00194,0.009025,-0.023165,-0.036359,moving
17,0.000437,-0.01443,-0.006006,-0.013886,moving
17.5,0.000913,-0.026243,0.002537,-0.014745,moving
18,0.000158,-0.000643,-0.006449,-0.010772,moving
18.5,0.000622,0.00331,-0.006502,-0.023853,moving
19,0.001174,-0.004996,0.022223,-0.025599,moving
19.5,0.001665,0.040336,-0.005558,-0.002621,moving
20,0.000773,-0.020224,-0.00866,0.017011,moving
20.5,0.002999,0.02014,-0.004471,-0.050733,moving
21,0.001683,-0.019566,0.011797,-0.034077,moving
21.5,0.001423,-0.017392,-0.010312,0.03184,moving
22,0.006596,0.061624,-0.024383,-0.04695,moving
22.5,0.004228,-0.001158,-0.064164,0.010458,moving
23,0.002624,-0.034753,-0.008506,0.036658,moving
23.5,0.000545,0.005458,0.002248,0.022593,moving
24,0.004154,-0.061245,0.019239,0.005755,moving
24.5,0.013351,-0.019666,0.023562,0.111394,moving
25,0.011455,0.097345,0.006486,0.04401,moving
25.5,0.004486,0.025542,-0.050728,0.035497,moving
26,0.004097,0.054107,0.009104,-0.032968,moving
26.5,0.002962,-0.03075,0.020311,-0.040049,moving
27,0.004568,0.009904,-0.041964,-0.052048,moving
27.5,0.016156,0.084034,-0.027563,-0.091294,moving
28,0.00055,-0.000683,-0.006336,0.022579,moving
28.5,0.002021,-0.010954,-0.034697,0.026407,moving
29,0.000102,0.002966,0.006067,0.007524,moving
29.5,0.002955,0.014353,0.000054,-0.052432,moving
30,0.004929,0.006113,-0.02399,-0.065696,moving
30.5,0.001936,0.005293,0.035218,-0.02584,moving
31,0.002125,-0.044427,-0.012065,-0.002339,moving
31.5,0.000012,0.001838,-0.002898,-0.000242,moving
32,0.000577,0.008311,-0.019699,0.010969,moving
32.5,0.000903,-0.018969,-0.022524,-0.006003,moving
33,0.002009,0.019542,0.009939,0.0391,moving
33.5,0.001128,0.007382,-0.021372,0.02484,moving
34,0.00155,0.022964,-0.029515,-0.012298,moving
34.5,0.00252,0.034545,-0.012359,0.034266,moving
35,0.002056,0.025297,-0.008139,0.036743,moving
35.5,0.003502,-0.040929,-0.038865,0.017794,moving
36,0.000836,0.0237,0.016549,-0.000814,moving
36.5,0.005847,0.007869,-0.062391,-0.043505,moving
37,0.001022,0.017527,0.025526,-0.007941,moving
37.5,0.002124,-0.001259,-0.010457,-0.044864,moving
38,0.029672,0.036489,0.167027,0.021027,moving
38.5,0.004586,0.001963,-0.031574,-0.059874,moving
39,0.002763,0.013362,0.032573,0.039033,moving
39.5,0.006954,-0.061204,-0.032801,-0.04618,moving
40,0.003661,-0.009888,0.012943,-0.058273,moving
40.5,0.00244,-0.037427,-0.023143,-0.022443,moving
41,0.001064,-0.024066,-0.014351,-0.01669,moving
41.5,0.005169,-0.070256,-0.000589,0.015273,moving
42,0.002645,0.030249,-0.012861,0.039559,moving
42.5,0.005886,0.016014,-0.061295,-0.043267,moving
43,0.003483,0.039012,0.015137,0.041618,moving
43.5,0.012337,-0.0662,-0.005567,0.089013,moving
44,0.00252,0.018657,-0.029144,-0.036369,moving
44.5,0.002901,0.046784,0.013457,-0.023051,moving
45,0.000514,0.013104,0.015075,0.010745,moving
45.5,0.001908,0.032402,0.012457,0.026508,moving
46,0.002922,0.036179,0.014046,-0.037633,moving
46.5,0.004683,-0.015165,-0.024569,-0.062042,moving
47,0.002577,-0.038629,0.032076,-0.007511,moving
47.5,0.001325,-0.007021,-0.035008,-0.007051,moving
48,0.00178,0.018911,-0.007363,-0.03699,moving
48.5,0.003103,0.034396,-0.042574,-0.01036,moving
49,0.001714,-0.02958,-0.022209,-0.018598,moving
49.5,0.001842,-0.010313,-0.035435,0.021908,moving
50,0.001869,0.012045,0.036661,0.019495,moving
50.5,0.000119,-0.003437,-0.00222,0.010112,moving
51,0.006674,-0.080341,0.011357,0.009486,moving
51.5,0.002529,0.018172,0.035313,0.030859,moving
52,0.002222,0.006482,0.004201,-0.0465,moving
52.5,0.005354,0.072048,0.000756,-0.012752,moving
53,0.003079,-0.024217,-0.041615,-0.027576,moving
53.5,0.00133,0.012106,-0.020453,-0.027668,moving
54,0.002066,0.039614,0.005709,-0.021544,moving
54.5,0.00322,-0.015908,0.000058,0.054465,moving
55,0.000575,0.020197,0.00961,-0.008643,moving
55.5,0.000827,0.019797,-0.001706,-0.020781,moving
56,0.000965,-0.001692,-0.022132,-0.021721,moving
56.5,0.015303,0.053887,-0.068192,-0.088026,moving
57,0.004674,0.058256,0.030483,-0.018722,moving
57.5,0.010383,-0.019846,-0.028407,0.095823,moving
58,0.003249,0.016308,-0.036301,-0.040807,moving
58.5,0.000481,0.01067,0.009592,-0.016574,moving
59,0.000404,0.007854,0.016237,0.008878,moving
59.5,0.000848,-0.009737,-0.024852,0.011663,moving
60,0.003038,-0.002351,-0.016617,-0.052502,moving
60.5,0.00158,0.025969,0.018745,-0.02354,moving
61,0.001267,-0.011029,-0.029469,-0.016641,moving
61.5,0.000075,-0.000377,-0.008031,0.003265,moving
62,0.000721,-0.000175,-0.022057,-0.015322,moving
62.5,0.003725,0.017771,-0.0255,-0.052527,moving
63,0.008151,0.019866,0.085908,0.019405,moving
63.5,0.000985,0.014806,-0.021479,0.017444,moving
64,0.000517,0.01028,0.014781,-0.013892,moving
64.5,0.000236,0.00107,0.004532,0.014655,moving
65,0.001336,-0.023118,-0.023443,0.015864,moving
65.5,0.000472,-0.002459,0.015391,0.015143,moving
66,0.002678,0.022278,0.026121,0.038721,moving
66.5,0.00091,0.025238,0.002922,-0.01625,moving
67,0.001328,-0.020474,-0.019149,-0.02328,moving
67.5,0.001022,0.007461,-0.015727,-0.026821,moving
68,0.002082,-0.033498,-0.030578,-0.004997,moving
68.5,0.006616,0.015307,-0.019436,-0.077486,moving
69,0.001582,0.008899,0.016792,0.034947,moving
69.5,0.000838,-0.02036,-0.006721,0.019457,moving
70,0.012967,-0.020036,-0.04346,-0.103331,moving
70.5,0.007433,-0.024981,-0.045494,-0.068839,moving
71,0.003237,-0.036036,-0.028054,-0.033933,moving
71.5,0.003129,-0.043174,-0.031742,0.016058,moving
72,0.000765,-0.019252,0.003246,0.019583,moving
72.5,0.002655,-0.027792,-0.034983,-0.025658,moving
73,0.002717,-0.027704,-0.02353,-0.037365,moving
73.5,0.007779,-0.078825,0.039135,-0.005879,moving
74,0.007031,-0.059363,-0.017242,-0.056656,moving
74.5,0.001004,0.025018,0.001347,-0.019404,moving
