@RELATION train_movement

@ATTRIBUTE time NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE movement {moving,stopped}

@DATA
50.5,0.039609,0.021768,-0.149446,0.12962,moving
51,0.000986,-0.006148,0.016606,0.025935,moving
51.5,0.005716,0.046118,-0.042105,0.042618,moving
52,0.00409,0.034112,0.008165,0.053472,moving
52.5,0.009189,0.002694,-0.088677,-0.036312,moving
53,0.00027,-0.005881,-0.009841,-0.011757,moving
53.5,0.001454,0.021359,-0.001622,-0.031543,moving
54,0.0004,-0.005292,-0.018756,0.004457,moving
54.5,0.010055,-0.038409,-0.08026,0.04624,moving
55,0.000563,-0.012266,0.016879,0.011287,moving
55.5,0.005901,-0.066416,-0.031648,0.022095,moving
56,0.008797,-0.089125,-0.025715,0.013858,moving
56.5,0.00646,0.000433,0.051565,-0.061651,moving
57,0.003644,-0.040789,0.019183,0.040154,moving
57.5,0.006622,0.03858,0.06365,-0.032906,moving
58,0.006167,-0.033996,0.068114,0.019273,moving
58.5,0.002261,-0.024327,-0.036609,0.018141,moving
59,0.008242,0.022664,0.072931,-0.049086,moving
59.5,0.00999,-0.039086,-0.042869,-0.081389,moving
60,0.012041,0.025514,-0.052256,0.093055,moving
60.5,0.003712,0.030004,0.037098,-0.037886,moving
61,0.000287,0.016827,0.001984,0.000381,moving
61.5,0.009415,-0.070733,0.060468,0.027493,moving
62,0.004946,-0.026046,0.014457,-0.063704,moving
62.5,0.024701,0.127288,-0.012384,0.091354,moving
63,0.007616,-0.050683,-0.028117,0.065246,moving
63.5,0.002225,-0.019282,0.036926,0.022126,moving
64,0.002078,-0.017523,-0.007221,-0.041462,moving
64.5,0.003338,0.045817,0.032685,0.013048,moving
65,0.000851,0.01613,0.003614,0.024043,moving
65.5,0.002341,-0.011594,0.032393,-0.034025,moving
66,0.000115,-0.002134,-0.010498,0.000101,moving
66.5,0.001594,-0.000512,0.008952,-0.038907,moving
67,0.002944,0.002249,0.010433,0.053201,moving
67.5,0.001901,0.012262,0.000813,-0.041834,moving
68,0.001,-0.005284,0.031176,-0.000521,moving
68.5,0.010718,-0.048387,-0.005997,-0.091329,moving
69,0.012438,0.047741,0.014471,-0.099746,moving
69.5,0.002795,0.012314,0.003242,-0.051313,moving
70,0.012276,-0.102108,-0.04205,-0.009039,moving
70.5,0.000969,-0.013692,-0.022566,0.016505,moving
71,0.00454,0.040369,0.002834,-0.05387,moving
71.5,0.003145,0.000233,-0.05607,-0.001091,moving
72,0.002208,0.044229,0.008325,0.013501,moving
72.5,0.003202,0.053866,0.016661,0.004758,moving
73,0.003992,0.000636,0.013369,-0.061747,moving
73.5,0.002268,-0.000581,0.029461,0.037412,moving
74,0.005047,0.011667,-0.043911,0.05461,moving
74.5,0.000471,0.008384,-0.010544,-0.017002,moving
75,0.003657,0.02614,-0.013449,0.052843,moving
75.5,0.00485,-0.039812,0.043655,-0.036872,moving
76,0.003875,-0.036641,-0.048057,-0.014924,moving
76.5,0.002368,-0.033296,-0.02719,-0.022806,moving
77,0.004976,-0.049513,-0.037528,0.03341,moving
77.5,0.001645,0.010599,-0.003122,-0.039024,moving
78,0.001741,-0.040336,-0.009036,-0.00569,moving
78.5,0.000443,-0.015289,0.008991,-0.011321,moving
