r2, X, Y, Z
0.010718, -0.048387, -0.005997, -0.091329
0.012438, 0.047741, 0.014471, -0.099746
0.002795, 0.012314, 0.003242, -0.051313
0.012276, -0.102108, -0.042050, -0.009039
0.000969, -0.013692, -0.022566, 0.016505
0.004540, 0.040369, 0.002834, -0.053870
0.003145, 0.000233, -0.056070, -0.001091
0.002208, 0.044229, 0.008325, 0.013501
0.003202, 0.053866, 0.016661, 0.004758, 0, Decelerating
0.003992, 0.000636, 0.013369, -0.061747
0.002268, -0.000581, 0.029461, 0.037412
0.005047, 0.011667, -0.043911, 0.054610
0.000471, 0.008384, -0.010544, -0.017002
0.003657, 0.026140, -0.013449, 0.052843
0.004850, -0.039812, 0.043655, -0.036872
0.003875, -0.036641, -0.048057, -0.014924
0.002368, -0.033296, -0.027190, -0.022806
0.004976, -0.049513, -0.037528, 0.033410
0.001645, 0.010599, -0.003122, -0.039024
0.001741, -0.040336, -0.009036, -0.005690
0.000443, -0.015289, 0.008991, -0.011321
0.001887, -0.036760, -0.023153, -0.000086
0.000039, 0.003363, -0.001514, -0.005008
0.003380, 0.012420, 0.044721, 0.035018
0.000810, 0.015443, -0.021563, -0.010309
0.000842, -0.028142, -0.006150, 0.003430
0.001470, -0.005506, 0.025229, -0.028346
0.004686, 0.027874, -0.040400, -0.047721
0.001714, 0.028759, -0.007300, -0.028872
0.000471, -0.010787, -0.004594, -0.018273
0.000060, 0.000987, 0.005133, -0.005689
0.001141, 0.030777, -0.013799, 0.001794
0.002880, -0.049219, -0.015375, 0.014868
0.000684, 0.003299, -0.025637, -0.003939
0.000082, 0.004426, 0.002165, -0.007596
0.001322, -0.018897, -0.030935, 0.002877
0.000087, -0.005800, -0.000299, 0.007265
0.000101, -0.005845, -0.000199, 0.008201
0.000123, -0.007209, -0.002055, -0.008183
0.002922, 0.048484, 0.005014, 0.023369
0.005508, 0.029628, -0.038939, 0.055806
0.001059, -0.003839, -0.017899, 0.026902
0.002453, -0.009029, 0.047021, -0.012687
0.002695, 0.039189, -0.020648, 0.027078
0.000644, 0.001452, -0.009842, 0.023353
0.003983, -0.041777, -0.030850, -0.035856
0.000810, 0.007235, 0.013141, 0.024180
0.000635, -0.021490, -0.009605, -0.008990
0.002590, -0.018543, -0.046397, -0.009679
0.006237, -0.040153, 0.009604, -0.067321
0.002876, -0.004308, -0.010344, -0.052447
0.002016, -0.030649, -0.032510, -0.004406
0.004960, -0.027984, 0.057499, -0.029506
0.001353, 0.002850, -0.035075, 0.010703
0.000036, -0.002479, 0.004335, -0.003369
0.012996, -0.063990, 0.037832, -0.086427
0.002094, 0.038813, -0.000983, -0.024227
0.001700, 0.035105, 0.004186, -0.021216
0.006785, -0.039999, 0.008730, -0.071475
0.002434, 0.012566, -0.027665, -0.038875
0.003351, 0.049443, -0.028627, 0.009316
0.002559, 0.034174, 0.037055, -0.004280
0.002121, -0.021386, 0.040189, -0.006985
0.001876, -0.019671, -0.035813, 0.014369
0.004566, 0.055290, 0.035712, 0.015269
0.001381, -0.019226, -0.013518, 0.028780
0.004782, -0.051345, -0.043154, -0.016822
0.002162, 0.005797, 0.005148, -0.045851
0.002746, 0.024976, 0.012212, -0.044418
0.001629, -0.017537, -0.019058, 0.030962
0.004120, -0.021552, -0.048250, 0.036434
0.002304, -0.027769, -0.031584, 0.023128
0.001089, 0.005246, 0.031939, 0.006394
0.003707, 0.036330, 0.033242, -0.035807
0.007851, 0.077897, 0.038091, 0.018214
0.002309, 0.033549, -0.034356, 0.001847
0.004773, 0.065155, -0.004448, -0.022532
0.002935, 0.031873, 0.016056, -0.040753
0.007386, -0.065763, -0.049251, -0.025212
0.000130, 0.010349, 0.002887, -0.003819
0.001157, 0.007125, -0.014847, -0.029765
