r2, X, Y, Z,,
0,0,0,0,,
0.000677,0.023786,-0.008529,-0.006174,,
0.001431,0.02013,-0.000963,-0.03202,,
0.000746,0.000992,-0.000301,-0.027299,,
0.000203,0.003471,-0.013482,0.002993,0, Accelerating
0.011011,0.032171,-0.029301,-0.095487,,
0.000247,0.005317,0.011181,-0.009706,,
0.001518,0.030763,-0.013958,-0.019411,,
0.000838,0.013711,-0.012008,-0.022488,,
0.001883,-0.009734,-0.041936,-0.005485,,
0.001528,0.020995,0.004334,-0.032682,,
0.002187,0.037519,-0.021527,-0.017785,,
0.002875,-0.037841,-0.018586,-0.033128,,
0.002139,-0.009864,0.022134,0.03939,,
0.003278,0.018934,0.044104,0.031212,,
0.000525,0.011159,-0.015896,-0.01216,,
0.001056,0.014023,-0.007109,0.028448,,
0.002623,0.000613,-0.037623,-0.034743,,
0.000789,-0.011208,-0.010932,-0.023323,,
0.000146,0.003714,-0.004374,-0.010647,,
0.000653,0.013731,-0.020693,-0.006013,,
0.001002,-0.019607,0.005339,-0.024268,,
0.000256,-0.015405,-0.001319,-0.004151,,
0.00074,0.002116,-0.020769,0.017443,,
0.001021,0.024076,-0.019732,-0.007206,,
0.004456,0.004131,0.015006,-0.064911,,
0.000126,-0.00126,0.006318,-0.009201,,
0.000289,-0.003015,-0.010404,-0.013092,,
0.000692,0.01635,-0.012384,0.016463,,
0.000688,0.008707,-0.024718,-0.000886,,
0.001126,0.011738,0.005846,-0.030895,,
0.000317,0.013958,-0.0056,-0.00951,,
0.000357,0.00039,-0.017592,-0.006883,,
0.00194,0.009025,-0.023165,-0.036359,,
0.000437,-0.01443,-0.006006,-0.013886,,
0.000913,-0.026243,0.002537,-0.014745,,
0.000158,-0.000643,-0.006449,-0.010772,,
0.000622,0.00331,-0.006502,-0.023853,,
0.001174,-0.004996,0.022223,-0.025599,,
0.001665,0.040336,-0.005558,-0.002621,,
0.000773,-0.020224,-0.00866,0.017011,,
0.002999,0.02014,-0.004471,-0.050733,,
0.001683,-0.019566,0.011797,-0.034077,,
0.001423,-0.017392,-0.010312,0.03184,,
0.006596,0.061624,-0.024383,-0.04695,0, Max Velocity Reached
0.004228,-0.001158,-0.064164,0.010458,,
0.002624,-0.034753,-0.008506,0.036658,,
0.000545,0.005458,0.002248,0.022593,,
0.004154,-0.061245,0.019239,0.005755,,
0.013351,-0.019666,0.023562,0.111394,,
0.011455,0.097345,0.006486,0.04401,,
0.004486,0.025542,-0.050728,0.035497,,
0.004097,0.054107,0.009104,-0.032968,,
0.002962,-0.03075,0.020311,-0.040049,,
0.004568,0.009904,-0.041964,-0.052048,,
0.016156,0.084034,-0.027563,-0.091294,,
0.00055,-0.000683,-0.006336,0.022579,,
0.002021,-0.010954,-0.034697,0.026407,,
0.000102,0.002966,0.006067,0.007524,,
0.002955,0.014353,0.000054,-0.052432,,
0.004929,0.006113,-0.02399,-0.065696,,
0.001936,0.005293,0.035218,-0.02584,,
0.002125,-0.044427,-0.012065,-0.002339,,
0.000012,0.001838,-0.002898,-0.000242,,
0.000577,0.008311,-0.019699,0.010969,,
0.000903,-0.018969,-0.022524,-0.006003,,
0.002009,0.019542,0.009939,0.0391,,
0.001128,0.007382,-0.021372,0.02484,,
0.00155,0.022964,-0.029515,-0.012298,,
0.00252,0.034545,-0.012359,0.034266,,
0.002056,0.025297,-0.008139,0.036743,,
0.003502,-0.040929,-0.038865,0.017794,,
0.000836,0.0237,0.016549,-0.000814,,
0.005847,0.007869,-0.062391,-0.043505,,
0.001022,0.017527,0.025526,-0.007941,,
0.002124,-0.001259,-0.010457,-0.044864,,
0.029672,0.036489,0.167027,0.021027,,
0.004586,0.001963,-0.031574,-0.059874,,
0.002763,0.013362,0.032573,0.039033,,
0.006954,-0.061204,-0.032801,-0.04618,,
0.003661,-0.009888,0.012943,-0.058273,,
0.00244,-0.037427,-0.023143,-0.022443,,
0.001064,-0.024066,-0.014351,-0.01669,,
0.005169,-0.070256,-0.000589,0.015273,,
0.002645,0.030249,-0.012861,0.039559,,
0.005886,0.016014,-0.061295,-0.043267,,
0.003483,0.039012,0.015137,0.041618,,
0.012337,-0.0662,-0.005567,0.089013,,
0.00252,0.018657,-0.029144,-0.036369,,
0.002901,0.046784,0.013457,-0.023051,,
0.000514,0.013104,0.015075,0.010745,,
0.001908,0.032402,0.012457,0.026508,,
0.002922,0.036179,0.014046,-0.037633,,
0.004683,-0.015165,-0.024569,-0.062042,,
0.002577,-0.038629,0.032076,-0.007511,,
0.001325,-0.007021,-0.035008,-0.007051,,
0.00178,0.018911,-0.007363,-0.03699,,
0.003103,0.034396,-0.042574,-0.01036,,
0.001714,-0.02958,-0.022209,-0.018598,,
0.001842,-0.010313,-0.035435,0.021908,,
0.001869,0.012045,0.036661,0.019495,,
0.000119,-0.003437,-0.00222,0.010112,,
0.006674,-0.080341,0.011357,0.009486,,
0.002529,0.018172,0.035313,0.030859,,
0.002222,0.006482,0.004201,-0.0465,,
0.005354,0.072048,0.000756,-0.012752,,
0.003079,-0.024217,-0.041615,-0.027576,,
0.00133,0.012106,-0.020453,-0.027668,,
0.002066,0.039614,0.005709,-0.021544,,
0.00322,-0.015908,0.000058,0.054465,,
0.000575,0.020197,0.00961,-0.008643,,
0.000827,0.019797,-0.001706,-0.020781,,
0.000965,-0.001692,-0.022132,-0.021721,,
0.015303,0.053887,-0.068192,-0.088026,,
0.004674,0.058256,0.030483,-0.018722,,
0.010383,-0.019846,-0.028407,0.095823,,
0.003249,0.016308,-0.036301,-0.040807,,
0.000481,0.01067,0.009592,-0.016574,,
0.000404,0.007854,0.016237,0.008878,,
0.000848,-0.009737,-0.024852,0.011663,,
0.003038,-0.002351,-0.016617,-0.052502,,
0.00158,0.025969,0.018745,-0.02354,,
0.001267,-0.011029,-0.029469,-0.016641,,
0.000075,-0.000377,-0.008031,0.003265,,
0.000721,-0.000175,-0.022057,-0.015322,,
0.003725,0.017771,-0.0255,-0.052527,,
0.008151,0.019866,0.085908,0.019405,,
0.000985,0.014806,-0.021479,0.017444,,
0.000517,0.01028,0.014781,-0.013892,,
0.000236,0.00107,0.004532,0.014655,,
0.001336,-0.023118,-0.023443,0.015864,,
0.000472,-0.002459,0.015391,0.015143,,
0.002678,0.022278,0.026121,0.038721,,
0.00091,0.025238,0.002922,-0.01625,,
0.001328,-0.020474,-0.019149,-0.02328,,
0.001022,0.007461,-0.015727,-0.026821,,
0.002082,-0.033498,-0.030578,-0.004997,,
0.006616,0.015307,-0.019436,-0.077486,,
0.001582,0.008899,0.016792,0.034947,,
0.000838,-0.02036,-0.006721,0.019457,,
0.012967,-0.020036,-0.04346,-0.103331,,
0.007433,-0.024981,-0.045494,-0.068839,,
0.003237,-0.036036,-0.028054,-0.033933,,
0.003129,-0.043174,-0.031742,0.016058,,
0.000765,-0.019252,0.003246,0.019583,,
0.002655,-0.027792,-0.034983,-0.025658,,
0.002717,-0.027704,-0.02353,-0.037365,,
0.007779,-0.078825,0.039135,-0.005879,,
0.007031,-0.059363,-0.017242,-0.056656,,
0.001004,0.025018,0.001347,-0.019404,,
0.009828,0.046849,-0.032142,0.08124,,
0.001516,-0.017093,0.015985,-0.031115,,
0.003215,-0.041771,-0.024836,-0.029218,,
0.000776,0.000102,-0.025815,-0.010476,,
0.00275,-0.024685,-0.014721,-0.043863,,
0.005539,-0.009899,-0.045219,-0.058279,,
0.003458,0.019858,-0.018297,-0.052237,,
0.001697,0.029188,0.002288,-0.028976,,
0.00753,0.056446,0.006613,0.065577,,
0.001664,0.026126,-0.028965,-0.011942,,
0.000707,0.026236,-0.004303,-0.000552,,
0.000332,0.00519,-0.012425,0.012277,,
0.001075,0.011106,-0.019435,-0.023958,,
0.001849,-0.036172,-0.009129,0.021374,,
0.005109,0.060423,-0.001795,-0.038138,,
0.001284,-0.011798,-0.025195,0.022594,,
0.001276,0.007679,-0.018215,0.029746,,
0.002175,0.007526,-0.024148,-0.039186,,
0.00021,-0.011551,-0.008735,-0.000487,,
0.001544,0.020841,-0.007858,-0.032372,,
0.000776,0.018608,-0.020642,-0.002034,,
0.000342,0.0175,-0.003095,0.005127,,
0.000644,-0.024419,0.000945,-0.006818,,
0.000253,-0.00019,0.010865,-0.011616,,
0.00759,-0.009154,0.002389,-0.086606,,
0.003737,-0.055201,-0.017611,0.019482,,
0.00043,-0.002768,-0.018697,-0.008551,,
0.002139,-0.006997,-0.032101,-0.032547,0, Decelerating
0.001816,-0.025409,0.00883,-0.033057,,
0.002598,-0.001131,-0.002611,0.050896,,
0.002816,-0.052197,0.007338,0.006124,,
0.001634,-0.006594,0.009839,-0.038655,,
0.001329,0.021388,-0.026961,0.01203,,
0.001082,-0.02807,-0.003628,-0.016772,,
0.003718,-0.046267,-0.031853,-0.023726,,
0.000317,-0.011533,0.009291,0.009904,,
0.002141,0.005538,-0.045888,-0.002052,,
0.001138,0.027986,-0.017138,0.007842,,
0.000968,-0.008159,-0.003528,-0.029813,,
0.000568,0.009715,0.009284,-0.019682,,
0.00063,0.015846,-0.019169,-0.00345,,
0.00031,-0.00995,-0.001508,-0.01445,,
0.000213,-0.009135,-0.009229,-0.00664,,
0.000066,0.007611,-0.001398,0.002444,,
0.001837,-0.021534,0.009942,-0.035697,,
0.00041,-0.012414,-0.015748,0.002816,,
0.001897,-0.001019,-0.00995,-0.042395,,
0.001294,-0.013212,-0.005164,-0.033052,,
0.000479,0.004559,-0.005578,-0.020676,,
0.000607,-0.002045,-0.020044,-0.014191,,
0.000123,0.001945,-0.001676,-0.010803,,
0.033731,0.142843,-0.10435,-0.049373,,
0.003209,0.026206,-0.041365,-0.028475,0, Stopped
0.002025,0.030339,-0.000525,-0.033234,,
0.000141,0.00774,0.007594,0.004833,,
0.000271,-0.000546,-0.004599,-0.015809,,
0.000575,0.007026,-0.002566,-0.02279,,
0.000792,0.009789,-0.008355,-0.025019,,
0.001594,0.012498,-0.00046,-0.037919,,
0.001375,-0.033692,-0.009276,-0.012398,,
0.000757,-0.015509,-0.012892,-0.018724,,
0.000054,0.001561,-0.000506,0.007176,,
0.034408,-0.076793,0.124315,0.114266,,
0.044052,0.056259,-0.084084,-0.183892,,
0.001896,-0.007374,-0.037113,-0.021537,,
0.004221,0.004226,-0.019128,-0.061945,,
0.015995,-0.024364,-0.088864,-0.086626,,
0.060712,0.188788,0.021113,-0.156926,,
0.003213,-0.015533,0.025022,-0.048433,,
0.002561,0.010914,-0.014417,0.047262,,
0.016547,-0.048613,-0.07953,0.08865,,
0.030915,-0.015901,-0.052401,-0.167081,,
0.047352,-0.173541,0.023854,0.129097,,
0.009394,0.01004,-0.053306,-0.080324,,
0.007884,0.067892,0.03219,-0.047313,,
0.006104,-0.021839,-0.027021,-0.069981,,
0.002959,0.039897,0.02227,0.029516,,
0.000278,0.005414,-0.004187,-0.015205,,
0.000449,0.0014,-0.001485,-0.021095,,
0.000949,-0.006302,0.003714,-0.029922,,
0.00003,0.005422,-0.00091,-0.000081,,
0.000125,0.010231,-0.001077,-0.004342,,
0.000106,0.001683,-0.004598,-0.009052,,
0.000966,-0.008254,-0.01606,-0.025295,,
0.000067,0.002554,-0.003224,-0.007078,,
0.000503,0.014441,-0.004802,-0.01647,,
